,caucus,congress_numbers,current,description,district,enddate,extra__address,extra__contact_form,extra__fax,extra__how,extra__office,extra__rss_url,id,leadership_title,party,person__bioguideid,person__birthday,person__cspanid,person__firstname,person__gender,person__gender_label,person__id,person__lastname,person__link,person__middlename,person__name,person__namemod,person__nickname,person__osid,person__pvsid,person__sortname,person__twitterid,person__youtubeid,phone,role_type,role_type_label,senator_class,senator_class_label,senator_rank,senator_rank_label,startdate,state,title,title_long,website
0,,"[114, 115, 116]",True,Senior Senator from Tennessee,,2021-01-03,455 Dirksen Senate Office Building Washington DC 20510,http://www.alexander.senate.gov/public/index.cfm?p=Email,202-228-3398,,455 Dirksen Senate Office Building,http://www.alexander.senate.gov/public/?a=rss.feed,43255,,Republican,A000360,1940-07-03,5.0,Lamar,male,Male,300002,Alexander,https://www.govtrack.us/congress/members/lamar_alexander/300002,,Sen. Lamar Alexander [R-TN],,,N00009888,15691.0,"Alexander, Lamar (Sen.) [R-TN]",SenAlexander,lamaralexander,202-224-4944,senator,Senator,class2,Class 2,senior,Senior,2015-01-06,TN,Sen.,Senator,https://www.alexander.senate.gov/public/index.cfm/home
1,,"[113, 114, 115]",True,Junior Senator from Mississippi,,2019-01-03,555 Dirksen Senate Office Building Washington DC 20510,http://www.wicker.senate.gov/public/index.cfm/contact,202-228-0378,,555 Dirksen Senate Office Building,,43154,,Republican,W000437,1951-07-05,18203.0,Roger,male,Male,400432,Wicker,https://www.govtrack.us/congress/members/roger_wicker/400432,F.,Sen. Roger Wicker [R-MS],,,N00003280,21926.0,"Wicker, Roger (Sen.) [R-MS]",SenatorWicker,SenatorWicker,202-224-6253,senator,Senator,class1,Class 1,junior,Junior,2013-01-03,MS,Sen.,Senator,http://www.wicker.senate.gov
2,,"[113, 114, 115]",True,Junior Senator from Virginia,,2019-01-03,231 Russell Senate Office Building Washington DC 20510,http://www.kaine.senate.gov/contact,202-228-6363,,231 Russell Senate Office Building,http://www.kaine.senate.gov/rss/feeds/?type=all,43149,,Democrat,K000384,1958-02-26,49219.0,Timothy,male,Male,412582,Kaine,https://www.govtrack.us/congress/members/timothy_kaine/412582,,Sen. Timothy Kaine [D-VA],,,N00033177,50772.0,"Kaine, Timothy (Sen.) [D-VA]",SenKaineOffice,SenatorTimKaine,202-224-4024,senator,Senator,class1,Class 1,junior,Junior,2013-01-03,VA,Sen.,Senator,http://www.kaine.senate.gov
3,,"[113, 114, 115]",True,Junior Senator from Texas,,2019-01-03,404 Russell Senate Office Building Washington DC 20510,http://www.cruz.senate.gov/?p=email_senator,202-228-3398,,404 Russell Senate Office Building,,43140,,Republican,C001098,1970-12-22,1019953.0,Ted,male,Male,412573,Cruz,https://www.govtrack.us/congress/members/ted_cruz/412573,,Sen. Ted Cruz [R-TX],,,N00033085,135705.0,"Cruz, Ted (Sen.) [R-TX]",SenTedCruz,sentedcruz,202-224-5922,senator,Senator,class1,Class 1,junior,Junior,2013-01-03,TX,Sen.,Senator,https://www.cruz.senate.gov
4,,"[113, 114, 115]",True,Senior Senator from Nebraska,,2019-01-03,454 Russell Senate Office Building Washington DC 20510,http://www.fischer.senate.gov/public/?p=email-deb,202-228-1325,,454 Russell Senate Office Building,http://www.fischer.senate.gov/public/index.cfm/rss/feed,43123,,Republican,F000463,1951-03-01,1034067.0,Deb,female,Female,412556,Fischer,https://www.govtrack.us/congress/members/deb_fischer/412556,,Sen. Deb Fischer [R-NE],,,N00033443,41963.0,"Fischer, Deb (Sen.) [R-NE]",SenatorFischer,senatordebfischer,202-224-6551,senator,Senator,class1,Class 1,senior,Senior,2013-01-03,NE,Sen.,Senator,http://www.fischer.senate.gov
5,,"[113, 114, 115]",True,Junior Senator from North Dakota,,2019-01-03,110 Hart Senate Office Building Washington DC 20510,http://www.heitkamp.senate.gov/public/index.cfm/email-heidi,202-224-7776,,110 Hart Senate Office Building,http://www.heitkamp.senate.gov/public/index.cfm/rss/feed,43121,,Democrat,H001069,1955-10-30,95414.0,Heidi,female,Female,412554,Heitkamp,https://www.govtrack.us/congress/members/heidi_heitkamp/412554,,Sen. Heidi Heitkamp [D-ND],,,N00033782,41716.0,"Heitkamp, Heidi (Sen.) [D-ND]",SenatorHeitkamp,senatorheidiheitkamp,202-224-2043,senator,Senator,class1,Class 1,junior,Junior,2013-01-03,ND,Sen.,Senator,http://www.heitkamp.senate.gov/public
6,Democrat,"[113, 114, 115]",True,Junior Senator from Maine,,2019-01-03,133 Hart Senate Office Building Washington DC 20510,http://www.king.senate.gov/contact,202-224-1946,,133 Hart Senate Office Building,http://www.king.senate.gov/rss/feeds/?type=all,43112,,Independent,K000383,1944-03-31,37413.0,Angus,male,Male,412545,King,https://www.govtrack.us/congress/members/angus_king/412545,,Sen. Angus King [I-ME],,,N00034580,22381.0,"King, Angus (Sen.) [I-ME]",SenAngusKing,SenatorAngusKing,202-224-5344,senator,Senator,class1,Class 1,junior,Junior,2013-01-03,ME,Sen.,Senator,http://www.king.senate.gov
7,,"[113, 114, 115]",True,Senior Senator from Massachusetts,,2019-01-03,317 Hart Senate Office Building Washington DC 20510,http://www.warren.senate.gov/?p=email_senator#thisForm,,,317 Hart Senate Office Building,http://www.warren.senate.gov/rss/?p=hot_topic,43109,,Democrat,W000817,1949-06-22,1023023.0,Elizabeth,female,Female,412542,Warren,https://www.govtrack.us/congress/members/elizabeth_warren/412542,,Sen. Elizabeth Warren [D-MA],,,N00033492,141272.0,"Warren, Elizabeth (Sen.) [D-MA]",SenWarren,senelizabethwarren,202-224-4543,senator,Senator,class1,Class 1,senior,Senior,2013-01-03,MA,Sen.,Senator,http://www.warren.senate.gov
8,,"[113, 114, 115]",True,Senior Senator from West Virginia,,2019-01-03,306 Hart Senate Office Building Washington DC 20510,http://www.manchin.senate.gov/public/index.cfm/contact-form,202-228-0002,,306 Hart Senate Office Building,http://www.manchin.senate.gov/public/index.cfm/rss/feed,42991,,Democrat,M001183,1947-08-24,62864.0,Joe,male,Male,412391,Manchin,https://www.govtrack.us/congress/members/joe_manchin/412391,,Sen. Joe Manchin [D-WV],III,,N00032838,7547.0,"Manchin, Joe (Sen.) [D-WV]",Sen_JoeManchin,SenatorJoeManchin,202-224-3954,senator,Senator,class1,Class 1,senior,Senior,2013-01-03,WV,Sen.,Senator,http://www.manchin.senate.gov/public
9,,"[113, 114, 115]",True,Junior Senator from New Mexico,,2019-01-03,303 Hart Senate Office Building Washington DC 20510,http://www.heinrich.senate.gov/contact/write-martin,202-225-4975,,303 Hart Senate Office Building,,42958,,Democrat,H001046,1971-10-17,1030686.0,Martin,male,Male,412281,Heinrich,https://www.govtrack.us/congress/members/martin_heinrich/412281,,Sen. Martin Heinrich [D-NM],,,N00029835,74517.0,"Heinrich, Martin (Sen.) [D-NM]",MartinHeinrich,SenMartinHeinrich,202-224-5521,senator,Senator,class1,Class 1,junior,Junior,2013-01-03,NM,Sen.,Senator,http://www.heinrich.senate.gov
